,0,1,clean nationality abbreviation
81613,SG,,SG
81614,MY,,MY
81615,SG,CHN,CN
81616,MY,MY,MY
81617,SG,SG,SG
81618,MY,Malaysia,MY
81619,SG,,SG
81620,MY,Malaysia,MY
81621,SG,PH,PH
81622,SG,SG,SG
81623,MY,MY,MY
81624,SG,SG,SG
81625,HK,HK,HK
81626,SG,SG,SG
81627,MY,,MY
81628,HK,HK,HK
81629,SG,SG,SG
81630,MY,,MY
81631,MY,MY,MY
81632,SG,SG,SG
81633,MY,,MY
81634,SG,CN,CN
81635,MY,MY,MY
81636,MY,MY,MY
81637,SG,SG,SG
81638,MY,MY,MY
81639,MY,MY,MY
81640,SG,SG,SG
81641,MY,Malaysian,MY
81642,SG,SG,SG
81643,MY,,MY
81644,HK,,HK
81645,SG,,SG
81646,MY,Malaysia,MY
81647,SG,SG,SG
81648,SG,,SG
81649,HK,,HK
81650,SG,SG,SG
81651,SG,SG,SG
81652,SG,SG,SG
81653,SG,SG,SG
81654,SG,IN,IN
81655,SG,IN,IN
81656,SG,PH,PH
81657,SG,SG,SG
81658,SG,SG,SG
81659,MY,MY,MY
81660,MY,Malaysia,MY
81661,MY,,MY
81662,SG,SG,SG
81663,SG,SGP,SG
81664,SG,MY,MY
81665,MY,,MY
81666,SG,SG,SG
81667,SG,SG,SG
81668,SG,,SG
81669,MY,Malaysia,MY
81670,SG,SG,SG
81671,MY,,MY
81672,SG,SG,SG
81673,MY,,MY
81674,SG,SG,SG
81675,MY,,MY
81676,MY,MY,MY
81677,MY,,MY
81678,MY,MY,MY
81679,MY,MY,MY
81680,SG,SG,SG
81681,SG,SG,SG
81682,SG,SG,SG
81683,MY,MY,MY
81684,SG,MY,MY
81685,SG,SG,SG
81686,MY,,MY
81687,SG,SG,SG
81688,SG,SG,SG
81689,SG,SG,SG
81690,SG,SG,SG
81691,SG,MY,MY
81692,SG,SG,SG
81693,MY,MY,MY
81694,MY,Malaysia,MY
81695,SG,SG,SG
81696,SG,SG,SG
81697,MY,,MY
81698,SG,SG,SG
81699,SG,MY,MY
81700,SG,SG,SG
81701,MY,MY,MY
81702,SG,SG,SG
81703,SG,,SG
81704,SG,SG,SG
81705,SG,SG,SG
81706,SG,SGP,SG
81707,SG,SG,SG
81708,SG,SG,SG
81709,MY,Malaysia,MY
81710,SG,SG,SG
81711,SG,BU,BG
81712,MY,MY,MY
81713,SG,SGP,SG
81714,MY,,MY
81715,SG,SG,SG
81716,SG,SG,SG
81717,MY,MY,MY
81718,MY,MY,MY
81719,SG,SG,SG
81720,MY,MY,MY
81721,MY,Malaysia,MY
81722,SG,SG,SG
81723,MY,,MY
81724,SG,SG,SG
81725,SG,MY,MY
81726,MY,Malaysia,MY
81727,MY,MY,MY
81728,SG,SG,SG
81729,SG,PHL,PH
81730,SG,SG,SG
81731,SG,SG,SG
81732,MY,MY,MY
81733,MY,MY,MY
81734,MY,MY,MY
81735,MY,,MY
81736,MY,MY,MY
81737,SG,CN,CN
81738,SG,SG,SG
81739,SG,SG,SG
81740,SG,MY,MY
81741,SG,SG,SG
81742,SG,SG,SG
81743,MY,MY,MY
81744,SG,SG,SG
81745,SG,SG,SG
81746,MY,MY,MY
81747,MY,,MY
81748,SG,MY,MY
81749,SG,SG,SG
81750,SG,SG,SG
81751,SG,SG,SG
81752,MY,Malaysian,MY
81753,SG,SG,SG
81754,SG,SG,SG
81755,HK,,HK
81756,SG,SG,SG
81757,SG,SG,SG
81758,SG,SGP,SG
81759,MY,,MY
81760,SG,SG,SG
81761,MY,MALAYSIA,MY
81762,MY,MY,MY
81763,SG,PH,PH
81764,MY,MY,MY
81765,SG,SG,SG
81766,SG,SG,SG
81767,SG,,SG
81768,SG,SG,SG
81769,MY,,MY
81770,SG,SG,SG
81771,SG,SG,SG
81772,SG,SG,SG
81773,SG,SG,SG
81774,TH,SG,SG
81775,MY,Malaysia,MY
81776,SG,PH,PH
81777,SG,SG,SG
81778,SG,SG,SG
81779,MY,,MY
81780,SG,SG,SG
81781,SG,SG,SG
81782,SG,SG,SG
81783,SG,SG,SG
81784,SG,SG,SG
81785,MY,,MY
81786,SG,MY,MY
81787,SG,SG,SG
81788,SG,SG,SG
81789,SG,PHL,PH
81790,SG,SG,SG
81791,SG,SG,SG
81792,MY,MALAYSIAN,MY
81793,SG,SG,SG
81794,SG,SG,SG
81795,SG,SG,SG
81796,MY,MALAYSIAN,MY
81797,SG,SG,SG
81798,SG,SG,SG
81799,SG,MY,MY
81800,SG,MY,MY
81801,MY,Malaysian,MY
81802,SG,IDN,ID
81803,SG,PHL,PH
81804,SG,SG,SG
81805,SG,SG,SG
81806,MY,MY,MY
81807,MY,MY,MY
81808,SG,SG,SG
81809,SG,,SG
81810,SG,SG,SG
81811,MY,MY,MY
81812,SG,SG,SG
81813,SG,SG,SG
81814,MY,MY,MY
81815,MY,,MY
81816,MY,MY,MY
81817,SG,SG,SG
81818,MY,MY,MY
81819,MY,Malaysian,MY
81820,SG,SG,SG
81821,SG,SG,SG
81822,MY,,MY
81823,MY,,MY
81824,MY,,MY
81825,SG,SG,SG
81826,MY,MY,MY
81827,SG,SG,SG
81828,MY,MY,MY
81829,SG,SG,SG
81830,SG,SG,SG
81831,MY,,MY
81832,MY,,MY
81833,MY,MY,MY
81834,SG,SG,SG
81835,SG,SG,SG
81836,SG,SG,SG
81837,SG,SG,SG
81838,SG,SG,SG
81839,MY,MY,MY
81840,SG,SG,SG
81841,SG,SG,SG
81842,SG,SG,SG
81843,SG,SG,SG
81844,MY,,MY
81845,SG,AU,AU
81846,SG,SG,SG
81847,SG,,SG
81848,MY,Malaysia,MY
81849,SG,,SG
81850,MY,MY,MY
81851,MY,MY,MY
81852,SG,SG,SG
81853,MY,,MY
81854,MY,Malaysia,MY
81855,SG,SG,SG
81856,MY,MY,MY
81857,MY,MY,MY
81858,MY,MY,MY
81859,MY,MY,MY
81860,SG,PHL,PH
81861,SG,SG,SG
81862,SG,SG,SG
81863,SG,MY,MY
81864,SG,SG,SG
81865,SG,MY,MY
81866,SG,SG,SG
81867,MY,,MY
81868,MY,MY,MY
81869,SG,MY,MY
81870,MY,Malaysia ,MY
81871,MY,Malaysia,MY
81872,MY,MY,MY
81873,MY,,MY
81874,SG,SG,SG
81875,SG,PH,PH
81876,SG,SG,SG
81877,SG,SG,SG
81878,MY,Malaysia,MY
81879,SG,SG,SG
81880,MY,Malaysia,MY
81881,SG,PHL,PH
81882,MY,,MY
81883,SG,SGP,SG
81884,SG,SG,SG
81885,MY,Malaysia,MY
81886,SG,SG,SG
81887,SG,SG,SG
81888,SG,SG,SG
81889,MY,Malaysia,MY
81890,SG,SG,SG
81891,MY,MY,MY
81892,MY,,MY
81893,SG,SG,SG
81894,MY,MY,MY
81895,MY,,MY
81896,HK,HK,HK
81897,MY,MY,MY
81898,SG,SG,SG
81899,MY,MY,MY
81900,MY,Malaysian,MY
81901,MY,,MY
81902,MY,,MY
81903,SG,SG,SG
81904,SG,SG,SG
81905,HK,Chinese,CN
81906,MY,,MY
81907,SG,JP,JP
81908,MY,,MY
81909,MY,,MY
81910,SG,SG,SG
81911,SG,SG,SG
81912,SG,SG,SG
81913,SG,,SG
81914,SG,SG,SG
81915,SG,,SG
81916,SG,,SG
81917,SG,SG,SG
81918,SG,PH,PH
81919,SG,SG,SG
81920,MY,,MY
81921,SG,SG,SG
81922,SG,SG,SG
81923,SG,SG,SG
81924,SG,SG,SG
81925,SG,SG,SG
81926,MY,,MY
81927,SG,SG,SG
81928,SG,SG,SG
81929,HK,中國香港,HK
81930,MY,Malaysia,MY
81931,SG,SG,SG
81932,MY,Malaysian,MY
81933,SG,SG,SG
81934,MY,,MY
81935,SG,SG,SG
81936,SG,,SG
81937,SG,SG,SG
81938,MY,,MY
81939,MY,MY,MY
81940,MY,,MY
81941,SG,,SG
81942,SG,SG,SG
81943,MY,Malaysian,MY
81944,SG,SG,SG
81945,SG,SG,SG
81946,SG,SG,SG
81947,SG,SG,SG
81948,MY,Malaysia,MY
81949,MY,,MY
81950,MY,,MY
81951,SG,SG,SG
81952,SG,SG,SG
81953,SG,SG,SG
81954,MY,Malaysia,MY
81955,SG,SG,SG
81956,SG,MY,MY
81957,SG,SG,SG
81958,MY,Malaysia,MY
81959,SG,MY,MY
81960,SG,SG,SG
81961,MY,,MY
81962,SG,PH,PH
81963,SG,SG,SG
81964,MY,MY,MY
81965,MY,,MY
81966,MY,MY,MY
81967,MY,MY,MY
81968,SG,SG,SG
81969,MY,MY,MY
81970,SG,MY,MY
81971,MY,MY,MY
81972,MY,,MY
81973,MY,,MY
81974,MY,Malaysia,MY
81975,SG,MY,MY
81976,SG,SG,SG
81977,MY,Malaysia,MY
81978,SG,,SG
81979,SG,SG,SG
81980,SG,SG,SG
81981,SG,SG,SG
81982,SG,,SG
81983,MY,Malaysian,MY
81984,MY,,MY
81985,SG,MY,MY
81986,SG,SGP,SG
81987,SG,SG,SG
81988,SG,SG,SG
81989,SG,SG,SG
81990,SG,VN,VN
81991,SG,SG,SG
81992,SG,SG,SG
81993,MY,,MY
81994,MY,Malaysia,MY
81995,HK,Hong Kong,HK
81996,MY,MY,MY
81997,SG,SG,SG
81998,MY,Malaysia,MY
81999,SG,SG,SG
82000,SG,SG,SG
82001,SG,PH,PH
82002,SG,SG,SG
82003,SG,SG,SG
82004,MY,,MY
82005,MY,MY,MY
82006,SG,,SG
82007,MY,MY,MY
82008,SG,SG,SG
82009,SG,SG,SG
82010,TH,Thai,TH
82011,MY,,MY
82012,SG,MY,MY
82013,SG,SG,SG
82014,SG,SG,SG
82015,MY,,MY
82016,SG,SG,SG
82017,SG,PH,PH
82018,SG,SG,SG
82019,MY,Malaysian,MY
82020,SG,SG,SG
82021,SG,SG,SG
82022,SG,USA,US
82023,MY,Malaysian ,MY
82024,SG,MY,MY
82025,SG,MY,MY
82026,MY,Malaysia,MY
82027,SG,IND,IN
82028,MY,MY,MY
82029,SG,SG,SG
82030,MY,Malaysia,MY
82031,SG,,SG
82032,SG,PH,PH
82033,SG,PH,PH
82034,SG,MY,MY
82035,SG,JP,JP
82036,SG,SG,SG
82037,MY,MY,MY
82038,MY,MY,MY
82039,SG,SG,SG
82040,SG,SG,SG
82041,SG,SG,SG
82042,MY,,MY
82043,SG,SG,SG
82044,SG,SG,SG
82045,MY,,MY
82046,SG,SG,SG
82047,SG,MYS,MY
82048,SG,SG,SG
82049,MY,MY,MY
82050,SG,SG,SG
82051,MY,,MY
82052,SG,SG,SG
82053,SG,SG,SG
82054,MY,Malaysian ,MY
82055,SG,PHL,PH
82056,MY,MY,MY
82057,SG,MY,MY
82058,SG,,SG
82059,MY,Malaysia,MY
82060,SG,CN,CN
82061,SG,SG,SG
82062,HK,HK,HK
82063,SG,JP,JP
82064,SG,MY,MY
82065,SG,,SG
82066,SG,MYS,MY
82067,SG,SG,SG
82068,MY,,MY
82069,MY,,MY
82070,SG,SG,SG
82071,SG,SG,SG
82072,SG,SG,SG
82073,MY,MY,MY
82074,SG,SG,SG
82075,SG,SG,SG
82076,MY,,MY
82077,SG,SG,SG
82078,MY,MY,MY
82079,SG,SG,SG
82080,SG,SG,SG
82081,SG,SG,SG
82082,MY,MY,MY
82083,MY,MY,MY
82084,SG,SG,SG
82085,SG,SG,SG
82086,SG,SG,SG
82087,SG,SG,SG
82088,SG,SG,SG
82089,SG,SG,SG
82090,SG,SG,SG
82091,SG,SG,SG
82092,MY,MY,MY
82093,MY,,MY
82094,MY,,MY
82095,SG,SG,SG
82096,MY,MY,MY
82097,SG,SG,SG
82098,SG,SG,SG
82099,SG,MY,MY
82100,SG,SG,SG
82101,MY,malaysia,MY
82102,SG,SG,SG
82103,SG,SG,SG
82104,SG,SG,SG
82105,MY,Malaysia,MY
82106,MY,Malaysian,MY
82107,SG,SG,SG
82108,MY,Malaysia,MY
82109,SG,SG,SG
82110,MY,,MY
82111,SG,MY,MY
82112,MY,MY,MY
82113,SG,MY,MY
82114,SG,SG,SG
82115,SG,SG,SG
82116,SG,SG,SG
82117,MY,MY,MY
82118,SG,TW,TW
82119,MY,MY,MY
82120,SG,MY,MY
82121,SG,SG,SG
82122,MY,Malaysia,MY
82123,SG,SG,SG
82124,SG,SG,SG
82125,MY,Malaysia,MY
82126,MY,,MY
82127,SG,TH,TH
82128,MY,,MY
82129,SG,MY,MY
82130,SG,SG,SG
82131,SG,SG,SG
82132,SG,CN,CN
82133,SG,SG,SG
82134,MY,Malaysia,MY
82135,SG,SG,SG
82136,SG,SG,SG
82137,HK,,HK
82138,MY,MY,MY
82139,SG,SG,SG
82140,SG,SG,SG
82141,SG,SG,SG
82142,MY,Malaysia,MY
82143,HK,,HK
82144,SG,SG,SG
82145,SG,SG,SG
82146,MY,malaysia,MY
82147,SG,PH,PH
82148,SG,PH,PH
82149,MY,MALAYSIAN,MY
82150,MY,Malaysian,MY
82151,SG,SG,SG
82152,MY,,MY
82153,SG,SG,SG
82154,SG,SG,SG
82155,SG,SG,SG
82156,SG,SG,SG
82157,SG,SG,SG
82158,SG,ID,ID
82159,SG,PH,PH
82160,MY,malaysia,MY
82161,SG,SG,SG
82162,SG,SG,SG
82163,SG,SG,SG
82164,MY,,MY
82165,MY,MY,MY
82166,SG,,SG
82167,MY,,MY
82168,MY,MY,MY
82169,SG,SG,SG
82170,MY,MY,MY
82171,SG,CHN,CN
82172,SG,,SG
82173,MY,MY,MY
82174,MY,malaysian,MY
82175,MY,,MY
82176,SG,IN,IN
82177,MY,MY,MY
82178,MY,,MY
82179,MY,MY,MY
82180,SG,,SG
82181,SG,,SG
82182,HK,,HK
82183,MY,Malaysian,MY
82184,SG,SG,SG
82185,MY,MY,MY
82186,SG,SG,SG
82187,SG,PH,PH
82188,SG,SG,SG
82189,SG,SG,SG
82190,MY,MY,MY
82191,SG,SG,SG
82192,SG,SG,SG
82193,MY,Malaysian,MY
82194,SG,SGP,SG
82195,SG,MY,MY
82196,MY,Malaysia,MY
82197,MY,,MY
82198,MY,,MY
82199,SG,SG,SG
82200,SG,SG,SG
82201,MY,Malaysia,MY
82202,SG,SG,SG
82203,SG,SG,SG
82204,MY,MY,MY
82205,SG,SG,SG
82206,MY,MY,MY
82207,SG,SG,SG
82208,SG,SG,SG
82209,MY,,MY
82210,SG,,SG
82211,MY,MY,MY
82212,SG,SG,SG
82213,SG,GB,GB
82214,MY,,MY
82215,MY,Malaysian,MY
82216,SG,,SG
82217,MY,MY,MY
82218,SG,IN,IN
82219,SG,SG,SG
82220,MY,Malaysian ,MY
82221,HK,,HK
82222,SG,PH,PH
82223,SG,SG,SG
82224,SG,LK,LK
82225,SG,,SG
82226,MY,MY,MY
82227,SG,MY,MY
82228,MY,Malaysia,MY
82229,SG,SG,SG
82230,MY,MY,MY
82231,MY,MY,MY
82232,MY,MY,MY
82233,SG,SG,SG
82234,SG,SG,SG
82235,MY,,MY
82236,MY,MY,MY
82237,SG,SG,SG
82238,MY,,MY
82239,SG,SG,SG
82240,SG,SG,SG
82241,SG,SG,SG
82242,SG,IN,IN
82243,SG,SG,SG
82244,SG,SG,SG
82245,SG,,SG
82246,SG,SG,SG
82247,MY,,MY
82248,MY,MY,MY
82249,MY,,MY
82250,TH,Thailand,TH
82251,SG,SG,SG
82252,MY,MY,MY
82253,HK,,HK
82254,SG,,SG
82255,MY,MY,MY
82256,SG,SG,SG
82257,SG,SG,SG
82258,MY,MY,MY
82259,MY,Malaysia,MY
82260,SG,SG,SG
82261,MY,MY,MY
82262,SG,SG,SG
82263,SG,SG,SG
82264,SG,PH,PH
82265,MY,Malaysia,MY
82266,SG,SG,SG
82267,MY,Malaysia,MY
82268,MY,MY,MY
82269,SG,SG,SG
82270,SG,PH,PH
82271,HK,Hong kong,HK
82272,SG,MMR,MM
82273,MY,Malaysia,MY
82274,MY,MY,MY
82275,MY,,MY
82276,SG,MY,MY
82277,SG,SG,SG
82278,SG,SG,SG
82279,SG,SGP,SG
82280,SG,PH,PH
82281,MY,,MY
82282,MY,,MY
82283,SG,IN,IN
82284,SG,MYS,MY
82285,SG,SG,SG
82286,SG,SG,SG
82287,MY,Malaysian,MY
82288,SG,SG,SG
82289,SG,MY,MY
82290,SG,MY,MY
82291,MY,MALAYSIA,MY
82292,SG,PH,PH
82293,SG,SG,SG
82294,MY,,MY
82295,MY,,MY
82296,SG,SG,SG
82297,MY,,MY
82298,SG,PH,PH
82299,SG,SGP,SG
82300,SG,SG,SG
82301,SG,MY,MY
82302,SG,SG,SG
82303,SG,,SG
82304,SG,SG,SG
82305,SG,SG,SG
82306,SG,SG,SG
82307,SG,SG,SG
82308,MY,,MY
82309,MY,MY,MY
82310,MY,Malaysia,MY
82311,MY,,MY
82312,MY,,MY
82313,HK,,HK
82314,MY,MY,MY
82315,SG,SG,SG
82316,SG,SG,SG
82317,MY,MY,MY
82318,MY,,MY
82319,SG,PH,PH
82320,MY,MY,MY
82321,MY,,MY
82322,SG,SG,SG
82323,MY,,MY
82324,SG,MY,MY
82325,SG,SG,SG
82326,SG,SG,SG
82327,MY,MY,MY
82328,SG,SG,SG
82329,MY,Malaysia,MY
82330,SG,SG,SG
82331,SG,SG,SG
82332,SG,MY,MY
82333,SG,SG,SG
82334,MY,,MY
82335,SG,SG,SG
82336,SG,SG,SG
82337,SG,SG,SG
82338,MY,,MY
82339,SG,SG,SG
82340,SG,SG,SG
82341,SG,SG,SG
82342,SG,GRC,GR
82343,MY,MY,MY
82344,SG,SG,SG
82345,SG,SG,SG
82346,MY,,MY
82347,SG,SG,SG
82348,SG,SG,SG
82349,SG,SG,SG
82350,SG,SG,SG
82351,SG,MY,MY
82352,SG,SG,SG
82353,MY,Malaysia,MY
82354,SG,SG,SG
82355,SG,,SG
82356,SG,SG,SG
82357,MY,Malaysian ,MY
82358,SG,SG,SG
82359,SG,PH,PH
82360,MY,Malaysia,MY
82361,SG,SG,SG
82362,SG,SG,SG
82363,MY,MY,MY
82364,MY,Malaysia,MY
82365,SG,RF,FR
82366,SG,SG,SG
82367,SG,SG,SG
82368,MY,Malaysian,MY
82369,SG,PH,PH
82370,MY,MY,MY
82371,MY,MY,MY
82372,SG,SG,SG
82373,MY,Malaysian ,MY
82374,SG,GB,GB
82375,SG,SG,SG
82376,MY,MY,MY
82377,SG,SG,SG
82378,MY,,MY
82379,MY,MY,MY
82380,SG,PH,PH
82381,MY,,MY
82382,SG,SG,SG
82383,SG,SG,SG
82384,MY,MALAYSIA,MY
82385,SG,MY,MY
82386,SG,SG,SG
82387,HK,HK,HK
82388,MY,,MY
82389,SG,SG,SG
82390,SG,,SG
82391,SG,SG,SG
82392,SG,SG,SG
82393,SG,VNM,VN
82394,SG,SG,SG
82395,MY,,MY
82396,SG,PH,PH
82397,SG,SGP,SG
82398,SG,CHN,CN
82399,SG,SG,SG
82400,SG,BU,BG
82401,SG,SG,SG
82402,MY,MY,MY
82403,SG,MY,MY
82404,SG,PH,PH
82405,MY,Malay,MY
82406,SG,SG,SG
82407,SG,,SG
82408,MY,MY,MY
82409,MY,MY,MY
82410,SG,SG,SG
82411,MY,Malaysia,MY
82412,SG,SG,SG
82413,MY,malaysia,MY
82414,SG,PH,PH
82415,SG,SG,SG
82416,MY,Malaysia,MY
82417,SG,,SG
82418,SG,PH,PH
82419,SG,SG,SG
82420,MY,Malaysia,MY
82421,SG,SG,SG
82422,SG,SG,SG
82423,MY,MY,MY
82424,MY,Malaysia,MY
82425,SG,SG,SG
82426,MY,,MY
82427,HK,HK,HK
82428,SG,PH,PH
82429,SG,SG,SG
82430,SG,IN,IN
82431,MY,Malaysian,MY
82432,SG,SG,SG
82433,SG,BU,BG
82434,MY,MY,MY
82435,MY,Malaysian,MY
82436,MY,,MY
82437,SG,SG,SG
82438,MY,MY,MY
82439,SG,PH,PH
82440,SG,SG,SG
82441,MY,,MY
82442,MY,Malaysia,MY
82443,HK,,HK
82444,MY,Malaysia,MY
82445,SG,SG,SG
82446,SG,SG,SG
82447,SG,MY,MY
82448,SG,SG,SG
82449,MY,MY,MY
82450,SG,SG,SG
82451,SG,,SG
82452,MY,,MY
82453,SG,SG,SG
82454,MY,MALAYSIA,MY
82455,MY,Malaysia ,MY
82456,MY,Malaysia,MY
82457,MY,Malaysia,MY
82458,MY,,MY
82459,SG,SG,SG
82460,SG,SG,SG
82461,MY,MY,MY
82462,SG,SG,SG
82463,MY,MY,MY
82464,HK,,HK
82465,SG,SG,SG
82466,MY,Malaysian,MY
82467,SG,,SG
82468,SG,SG,SG
82469,SG,,SG
82470,SG,SG,SG
82471,MY,Malaysia,MY
82472,MY,MY,MY
82473,SG,SG,SG
82474,SG,PH,PH
82475,MY,,MY
82476,SG,SG,SG
82477,SG,SG,SG
82478,MY,Malaysia,MY
82479,SG,SG,SG
82480,SG,,SG
82481,SG,SG,SG
82482,MY,,MY
82483,MY,MY,MY
82484,SG,SG,SG
82485,SG,SG,SG
82486,MY,Malaysia,MY
82487,SG,PH,PH
82488,MY,MY,MY
82489,SG,SG,SG
82490,MY,,MY
82491,SG,SG,SG
82492,SG,SG,SG
82493,SG,,SG
82494,MY,,MY
82495,SG,SG,SG
82496,MY,MY,MY
82497,SG,SGP,SG
82498,SG,MYS,MY
82499,SG,SG,SG
82500,SG,SG,SG
82501,SG,,SG
82502,MY,,MY
82503,MY,malaysia,MY
82504,MY,MY,MY
82505,SG,SG,SG
82506,MY,,MY
82507,SG,,SG
82508,SG,SG,SG
82509,MY,,MY
82510,HK,CHINA,CN
82511,MY,,MY
82512,SG,SG,SG
82513,HK,,HK
82514,SG,,SG
82515,MY,Malaysia,MY
82516,SG,SG,SG
82517,SG,SG,SG
82518,SG,SG,SG
82519,MY,MY,MY
82520,SG,SG,SG
82521,MY,,MY
82522,SG,SG,SG
82523,SG,MY,MY
82524,SG,SG,SG
82525,SG,SG,SG
82526,SG,SG,SG
82527,SG,UZ,UZ
82528,SG,SG,SG
82529,SG,PH,PH
82530,SG,,SG
82531,SG,SG,SG
82532,MY,,MY
82533,SG,CN,CN
82534,SG,SG,SG
82535,MY,,MY
82536,MY,Warganegara,MY
82537,SG,SG,SG
82538,SG,SGP,SG
82539,SG,SG,SG
82540,SG,SG,SG
82541,SG,IN,IN
82542,SG,SG,SG
82543,SG,,SG
82544,SG,PH,PH
82545,MY,MY,MY
82546,SG,SG,SG
82547,MY,,MY
82548,SG,,SG
82549,HK,HK,HK
82550,HK,,HK
82551,SG,SG,SG
82552,SG,PH,PH
82553,SG,MY,MY
82554,SG,SG,SG
82555,SG,SG,SG
82556,SG,SG,SG
82557,MY,,MY
82558,SG,SG,SG
82559,SG,,SG
82560,SG,SG,SG
82561,SG,SG,SG
82562,MY,MY,MY
82563,SG,MY,MY
82564,MY,,MY
82565,SG,SG,SG
82566,MY,,MY
82567,MY,MY,MY
82568,SG,SG,SG
82569,MY,MY,MY
82570,MY,MY,MY
82571,MY,MY,MY
82572,SG,,SG
82573,SG,SG,SG
82574,SG,MY,MY
82575,HK,Hong Kong,HK
82576,MY,Malaysia,MY
82577,SG,SG,SG
82578,HK,,HK
82579,MY,MY,MY
82580,SG,PH,PH
82581,SG,SG,SG
82582,MY,,MY
82583,SG,SG,SG
82584,MY,,MY
82585,MY,MY,MY
82586,SG,SG,SG
82587,SG,SG,SG
82588,SG,SG,SG
82589,SG,,SG
82590,SG,IN,IN
82591,SG,SG,SG
82592,MY,,MY
82593,MY,Malaysia,MY
82594,SG,SG,SG
82595,MY,,MY
82596,MY,MY,MY
82597,SG,SG,SG
82598,SG,SG,SG
82599,SG,SG,SG
82600,SG,SG,SG
82601,SG,MYS,MY
82602,SG,SG,SG
82603,SG,SG,SG
82604,MY,Malaysia,MY
82605,SG,,SG
82606,MY,MY,MY
82607,MY,,MY
82608,SG,,SG
82609,SG,SG,SG
82610,SG,SG,SG
82611,SG,SG,SG
82612,SG,CN,CN
82613,MY,,MY
82614,MY,MY,MY
82615,SG,SG,SG
82616,SG,SG,SG
82617,MY,Malaysia,MY
82618,SG,SG,SG
82619,SG,SG,SG
82620,SG,SG,SG
82621,SG,SG,SG
82622,HK,HK,HK
82623,SG,SG,SG
82624,MY,MY,MY
82625,MY,,MY
82626,SG,,SG
82627,MY,MY,MY
82628,SG,SG,SG
82629,SG,SG,SG
82630,SG,SG,SG
82631,MY,Malaysia,MY
82632,MY,MY,MY
82633,MY,MY,MY
82634,SG,SG,SG
82635,SG,,SG
82636,MY,,MY
82637,MY,Malaysian,MY
82638,SG,MY,MY
82639,MY,,MY
82640,SG,SG,SG
82641,SG,SG,SG
82642,MY,Malaysian,MY
82643,SG,PH,PH
82644,SG,PH,PH
82645,SG,SG,SG
82646,SG,SG,SG
82647,SG,SG,SG
82648,SG,,SG
82649,MY,,MY
82650,SG,SG,SG
82651,MY,,MY
82652,MY,,MY
82653,MY,MY,MY
82654,SG,SG,SG
82655,MY,,MY
82656,SG,PH,PH
82657,MY,Malaysia,MY
82658,SG,PHL,PH
82659,MY,Malaysia,MY
82660,MY,Malaysian,MY
82661,MY,malaysia,MY
82662,SG,MY,MY
82663,SG,PH,PH
82664,SG,SG,SG
82665,MY,MY,MY
82666,MY,MY,MY
82667,SG,SG,SG
82668,SG,PH,PH
82669,SG,SG,SG
82670,MY,Malaysia,MY
82671,MY,Malaysia,MY
82672,SG,PH,PH
82673,MY,Malaysian,MY
82674,MY,,MY
82675,MY,MY,MY
82676,MY,Malaysian,MY
82677,MY,MY,MY
82678,SG,SG,SG
82679,MY,Malaysia,MY
82680,SG,SG,SG
82681,SG,SGP,SG
82682,MY,Malaysian,MY
82683,MY,Malaysia,MY
82684,SG,PH,PH
82685,HK,,HK
82686,SG,SG,SG
82687,HK,Hong Kong,HK
82688,SG,SG,SG
82689,SG,SG,SG
82690,MY,,MY
82691,SG,SG,SG
82692,SG,SG,SG
82693,SG,,SG
82694,MY,MY,MY
82695,MY,MY,MY
82696,MY,,MY
82697,SG,SG,SG
82698,SG,SG,SG
82699,MY,malaysian,MY
82700,SG,SG,SG
82701,MY,MY,MY
82702,SG,SG,SG
82703,SG,SG,SG
82704,SG,SG,SG
82705,MY,,MY
82706,SG,SGP,SG
82707,SG,CN,CN
82708,MY,MY,MY
82709,SG,SG,SG
82710,HK,HK,HK
82711,SG,SG,SG
82712,SG,SG,SG
82713,MY,MY,MY
82714,HK,Hong Kong,HK
82715,MY,MY,MY
82716,MY,Malaysia,MY
82717,SG,MY,MY
82718,MY,MY,MY
82719,SG,IN,IN
82720,MY,Malaysia,MY
82721,MY,MY,MY
82722,MY,,MY
82723,MY,Malaysia,MY
82724,SG,TW,TW
82725,HK,,HK
82726,SG,SG,SG
82727,SG,SG,SG
82728,SG,SG,SG
82729,MY,MY,MY
82730,SG,SG,SG
82731,MY,,MY
82732,MY,MY,MY
82733,MY,,MY
82734,MY,Malaysia,MY
82735,SG,PH,PH
82736,MY,,MY
82737,MY,Malaysia,MY
82738,SG,SGP,SG
82739,MY,MY,MY
82740,SG,,SG
82741,MY,MY,MY
82742,SG,MY,MY
82743,SG,SG,SG
82744,HK,中國,CN
82745,SG,LK,LK
82746,SG,SG,SG
82747,SG,SG,SG
82748,SG,MY,MY
82749,SG,SG,SG
82750,MY,Malaysia,MY
82751,MY,MY,MY
82752,SG,SG,SG
82753,SG,SG,SG
82754,SG,SG,SG
82755,MY,Malaysian,MY
82756,SG,SG,SG
82757,MY,,MY
82758,SG,MYS,MY
82759,MY,,MY
82760,SG,SG,SG
82761,SG,SG,SG
82762,MY,MY,MY
82763,SG,SG,SG
82764,SG,SG,SG
82765,MY,,MY
82766,SG,SG,SG
82767,SG,SG,SG
82768,MY,,MY
82769,SG,,SG
82770,SG,SG,SG
82771,SG,SG,SG
82772,MY,MY,MY
82773,SG,IN,IN
82774,SG,SG,SG
82775,MY,MY,MY
