,0,1,clean nationality abbreviation
1098,SG,PH,PH
1099,SG,SG,SG
1100,SG,SG,SG
1101,SG,SG,SG
1102,SG,PH,PH
1103,SG,CHN,CN
1104,MY,Malaysian,MY
1105,SG,SG,SG
1106,MY,MY,MY
1107,SG,SG,SG
1108,SG,PHL,PH
1109,SG,MY,MY
1110,SG,MYS,MY
1111,SG,PHL,PH
1112,MY,malaysian,MY
1113,SG,CN,CN
1114,SG,BU,BG
1115,SG,NPL,NP
1116,MY,,MY
1117,MY,MY,MY
1118,SG,,SG
1119,MY,,MY
1120,SG,SG,SG
1121,MY,Malaysia,MY
1122,SG,SG,SG
1123,HK,,HK
1124,MY,MY,MY
1125,MY,,MY
1126,MY,Malaysia,MY
1127,SG,SG,SG
1128,MY,MY,MY
1129,SG,TH,TH
1130,MY,,MY
1131,MY,Malaysia,MY
1132,MY,Malaysia,MY
1133,MY,MY,MY
1134,MY,,MY
1135,HK,,HK
1136,SG,SG,SG
1137,MY,MY,MY
1138,MY,,MY
1139,SG,SG,SG
1140,MY,MY,MY
1141,SG,PHL,PH
1142,SG,,SG
1143,MY,,MY
1144,MY,MY,MY
1145,SG,SG,SG
1146,SG,SG,SG
1147,MY,MY,MY
1148,MY,MY,MY
1149,MY,MY,MY
1150,HK,HK,HK
1151,MY,MY,MY
1152,MY,,MY
1153,SG,SG,SG
1154,MY,,MY
1155,SG,SG,SG
1156,SG,PH,PH
1157,MY,MY,MY
1158,SG,SG,SG
1159,MY,,MY
1160,SG,SG,SG
1161,SG,SG,SG
1162,SG,SG,SG
1163,MY,,MY
1164,MY,,MY
1165,MY,,MY
1166,HK,Hong Kong,HK
1167,MY,,MY
1168,MY,MY,MY
1169,MY,Malaysia,MY
1170,SG,SG,SG
1171,SG,PH,PH
1172,SG,SG,SG
1173,SG,SG,SG
1174,SG,SG,SG
1175,SG,BE,BE
1176,MY,,MY
1177,SG,SG,SG
1178,SG,PHL,PH
1179,SG,SG,SG
1180,MY,,MY
1181,SG,SG,SG
1182,SG,SG,SG
1183,SG,SG,SG
1184,SG,Singaporean ,SG
1185,SG,SG,SG
1186,SG,SG,SG
1187,SG,PH,PH
1188,SG,SG,SG
1189,MY,Malaysian,MY
1190,MY,MY,MY
1191,SG,SGP,SG
1192,SG,SG,SG
1193,SG,SG,SG
1194,MY,Malaysian,MY
1195,MY,MY,MY
1196,SG,SG,SG
1197,SG,VN,VN
1198,SG,SG,SG
1199,SG,SGP,SG
1200,SG,,SG
1201,SG,SG,SG
1202,SG,SG,SG
1203,SG,SG,SG
1204,MY,,MY
1205,SG,SG,SG
1206,JP,JPN,JP
1207,SG,SG,SG
1208,MY,MY,MY
1209,MY,,MY
1210,MY,Malaysia,MY
1211,MY,MY,MY
1212,MY,MY,MY
1213,MY,MY,MY
1214,HK,,HK
1215,MY,MY,MY
1216,SG,SG,SG
1217,SG,SG,SG
1218,MY,malaysia,MY
1219,SG,SG,SG
1220,MY,MY,MY
1221,SG,SG,SG
1222,HK,,HK
1223,SG,SG,SG
1224,SG,SG,SG
1225,SG,SG,SG
1226,MY,,MY
1227,SG,SG,SG
1228,SG,MY,MY
1229,SG,SG,SG
1230,SG,SG,SG
1231,MY,Malaysia,MY
1232,MY,Malaysia,MY
1233,SG,SG,SG
1234,MY,Malaysian,MY
1235,MY,Malaysia,MY
1236,MY,,MY
1237,SG,MY,MY
1238,SG,SG,SG
1239,SG,SG,SG
1240,SG,SG,SG
1241,SG,SG,SG
1242,SG,SG,SG
1243,SG,SG,SG
1244,MY,MALAYSIA,MY
1245,SG,SG,SG
1246,HK,,HK
