,0,clean gender
735,Male,M
736,Male,M
737,,Unknown
738,Female,F
739,F,F
740,F,F
741,Female,F
742,,Unknown
743,,Unknown
744,Female,F
745,F,F
746,F,F
747,F,F
748,M,M
749,M,M
750,,Unknown
751,Female,F
752,F,F
753,M,M
754,,Unknown
755,M,M
756,Male,M
757,Male,M
758,Female,F
759,F,F
760,F,F
761,F,F
762,Female,F
763,M,M
764,Male,M
765,M,M
766,M,M
767,M,M
768,M,M
769,F,F
770,M,M
771,F,F
772,M,M
773,M,M
774,F,F
775,M,M
776,F,F
777,Male,M
778,F,F
779,Female,F
780,F,F
781,F,F
782,Female,F
783,M,M
784,M,M
785,Female,F
786,,Unknown
787,M,M
788,Female,F
789,M,M
790,F,F
791,M,M
792,F,F
793,F,F
794,Male,M
795,M,M
796,,Unknown
797,F,F
798,F,F
799,F,F
800,F,F
801,F,F
802,Male,M
803,,Unknown
804,F,F
805,F,F
806,Male,M
807,F,F
808,F,F
809,F,F
810,F,F
811,M,M
812,F,F
813,Female,F
814,Male,M
815,F,F
816,M,M
817,Male,M
818,M,M
819,,Unknown
820,F,F
821,Female,F
822,Female,F
823,Male,M
824,F,F
825,F,F
826,M,M
827,M,M
828,Female,F
829,F,F
830,,Unknown
831,,Unknown
832,Male,M
833,F,F
834,Female,F
835,,Unknown
836,M,M
837,F,F
838,F,F
839,F,F
840,M,M
841,Female,F
842,F,F
843,M,M
844,Male,M
845,F,F
846,M,M
847,Female,F
848,Female,F
849,F,F
850,Female,F
851,Male,M
852,F,F
853,F,F
854,,Unknown
855,F,F
856,Male,M
857,F,F
858,Female,F
859,M,M
860,,Unknown
861,,Unknown
862,Male,M
863,M,M
864,M,M
865,F,F
866,M,M
867,F,F
868,M,M
869,F,F
870,F,F
871,Male,M
872,F,F
873,Female,F
874,,Unknown
875,M,M
876,M,M
877,M,M
878,Female,F
879,M,M
880,Male,M
881,F,F
882,,Unknown
883,,Unknown
884,M,M
885,M,M
886,Male,M
887,,Unknown
888,F,F
889,,Unknown
890,Female,F
891,Female,F
892,Female,F
893,F,F
894,M,M
895,F,F
896,F,F
897,Female,F
898,Male,M
899,F,F
900,F,F
901,F,F
902,F,F
903,,Unknown
904,F,F
905,F,F
906,,Unknown
907,F,F
908,M,M
909,F,F
910,Female,F
911,Male,M
912,Male,M
913,M,M
914,M,M
915,F,F
916,,Unknown
917,F,F
918,Male,M
919,F,F
920,F,F
921,F,F
922,Female,F
923,M,M
924,F,F
925,M,M
926,,Unknown
